city,state,population_2024_estimate,population_year,scraped_date,data_source,median_home_value,price_year_month,price_source
New Haven,CT,137562,2024,2025-12-22,Wikipedia – List of United States cities by population,314645.83070237143,2025-11-30,Zillow ZHVI (City)
Pasadena,CA,137195,2024,2025-12-22,Wikipedia – List of United States cities by population,1159778.420622951,2025-11-30,Zillow ZHVI (City)
Kent,WA,136588,2024,2025-12-22,Wikipedia – List of United States cities by population,634217.1935374889,2025-11-30,Zillow ZHVI (City)
Dayton,OH,136346,2024,2025-12-22,Wikipedia – List of United States cities by population,133564.53476546865,2025-11-30,Zillow ZHVI (City)
Fargo,ND,136285,2024,2025-12-22,Wikipedia – List of United States cities by population,311078.0759919782,2025-11-30,Zillow ZHVI (City)
Lewisville,TX,135983,2024,2025-12-22,Wikipedia – List of United States cities by population,387730.7410251356,2025-11-30,Zillow ZHVI (City)
Carrollton,TX,135456,2024,2025-12-22,Wikipedia – List of United States cities by population,396402.8156312634,2025-11-30,Zillow ZHVI (City)
Round Rock,TX,135359,2024,2025-12-22,Wikipedia – List of United States cities by population,406022.13906777167,2025-11-30,Zillow ZHVI (City)
Sterling Heights,MI,134342,2024,2025-12-22,Wikipedia – List of United States cities by population,298535.46669105144,2025-11-30,Zillow ZHVI (City)
Santa Clara,CA,133132,2024,2025-12-22,Wikipedia – List of United States cities by population,1663152.1776662162,2025-11-30,Zillow ZHVI (City)
Norman,OK,131010,2024,2025-12-22,Wikipedia – List of United States cities by population,257970.05543224604,2025-11-30,Zillow ZHVI (City)
Columbia,MO,130900,2024,2025-12-22,Wikipedia – List of United States cities by population,312969.2664204079,2025-11-30,Zillow ZHVI (City)
Abilene,TX,130501,2024,2025-12-22,Wikipedia – List of United States cities by population,199446.3991256212,2025-11-30,Zillow ZHVI (City)
Pearland,TX,129620,2024,2025-12-22,Wikipedia – List of United States cities by population,373175.8030373633,2025-11-30,Zillow ZHVI (City)
Athens,GA,128691,2024,2025-12-22,Wikipedia – List of United States cities by population,331237.1035739896,2025-11-30,Zillow ZHVI (City)
College Station,TX,128023,2024,2025-12-22,Wikipedia – List of United States cities by population,342066.46834283177,2025-11-30,Zillow ZHVI (City)
Clovis,CA,127993,2024,2025-12-22,Wikipedia – List of United States cities by population,508857.9883339917,2025-11-30,Zillow ZHVI (City)
West Palm Beach,FL,127744,2024,2025-12-22,Wikipedia – List of United States cities by population,388743.5659713984,2025-11-30,Zillow ZHVI (City)
Allentown,PA,127138,2024,2025-12-22,Wikipedia – List of United States cities by population,304572.3251118282,2025-11-30,Zillow ZHVI (City)
North Charleston,SC,126005,2024,2025-12-22,Wikipedia – List of United States cities by population,305685.55957037635,2025-11-30,Zillow ZHVI (City)
Simi Valley,CA,125778,2024,2025-12-22,Wikipedia – List of United States cities by population,823091.9174221462,2025-11-30,Zillow ZHVI (City)
Topeka,KS,125467,2024,2025-12-22,Wikipedia – List of United States cities by population,189084.1919012121,2025-11-30,Zillow ZHVI (City)
Wilmington,NC,125284,2024,2025-12-22,Wikipedia – List of United States cities by population,407392.4385969459,2025-11-30,Zillow ZHVI (City)
Lakeland,FL,124990,2024,2025-12-22,Wikipedia – List of United States cities by population,309366.458803705,2025-11-30,Zillow ZHVI (City)
Thousand Oaks,CA,124229,2024,2025-12-22,Wikipedia – List of United States cities by population,1012667.9621542242,2025-11-30,Zillow ZHVI (City)
Concord,CA,124016,2024,2025-12-22,Wikipedia – List of United States cities by population,712989.6644914526,2025-11-30,Zillow ZHVI (City)
Rochester,MN,123624,2024,2025-12-22,Wikipedia – List of United States cities by population,329352.7478120879,2025-11-30,Zillow ZHVI (City)
Vallejo,CA,123475,2024,2025-12-22,Wikipedia – List of United States cities by population,516479.58057879936,2025-11-30,Zillow ZHVI (City)
Ann Arbor,MI,122925,2024,2025-12-22,Wikipedia – List of United States cities by population,504072.05645180977,2025-11-30,Zillow ZHVI (City)
Broken Arrow,OK,122756,2024,2025-12-22,Wikipedia – List of United States cities by population,282514.71730880794,2025-11-30,Zillow ZHVI (City)
Fairfield,CA,122646,2024,2025-12-22,Wikipedia – List of United States cities by population,595621.0541845588,2025-11-30,Zillow ZHVI (City)
Lafayette,LA,122280,2024,2025-12-22,Wikipedia – List of United States cities by population,218173.24028959885,2025-11-30,Zillow ZHVI (City)
Hartford,CT,122129,2024,2025-12-22,Wikipedia – List of United States cities by population,191287.6171690884,2025-11-30,Zillow ZHVI (City)
Arvada,CO,121873,2024,2025-12-22,Wikipedia – List of United States cities by population,598422.7616990645,2025-11-30,Zillow ZHVI (City)
Berkeley,CA,121749,2024,2025-12-22,Wikipedia – List of United States cities by population,1336866.0911316231,2025-11-30,Zillow ZHVI (City)
Independence,MO,121629,2024,2025-12-22,Wikipedia – List of United States cities by population,201633.4574664976,2025-11-30,Zillow ZHVI (City)
Billings,MT,121483,2024,2025-12-22,Wikipedia – List of United States cities by population,389356.5628459463,2025-11-30,Zillow ZHVI (City)
Cambridge,MA,121186,2024,2025-12-22,Wikipedia – List of United States cities by population,1017851.9744461124,2025-11-30,Zillow ZHVI (City)
Lowell,MA,120418,2024,2025-12-22,Wikipedia – List of United States cities by population,473519.5161868376,2025-11-30,Zillow ZHVI (City)
Odessa,TX,119748,2024,2025-12-22,Wikipedia – List of United States cities by population,242486.9825581869,2025-11-30,Zillow ZHVI (City)
High Point,NC,118601,2024,2025-12-22,Wikipedia – List of United States cities by population,244373.77834340767,2025-11-30,Zillow ZHVI (City)
League City,TX,118456,2024,2025-12-22,Wikipedia – List of United States cities by population,363581.9375666545,2025-11-30,Zillow ZHVI (City)
Antioch,CA,118453,2024,2025-12-22,Wikipedia – List of United States cities by population,585770.3608096291,2025-11-30,Zillow ZHVI (City)
Richardson,TX,118221,2024,2025-12-22,Wikipedia – List of United States cities by population,431502.401159638,2025-11-30,Zillow ZHVI (City)
Goodyear,AZ,118186,2024,2025-12-22,Wikipedia – List of United States cities by population,465415.0138426064,2025-11-30,Zillow ZHVI (City)
Pompano Beach,FL,118104,2024,2025-12-22,Wikipedia – List of United States cities by population,348380.94141718425,2025-11-30,Zillow ZHVI (City)
Nampa,ID,117350,2024,2025-12-22,Wikipedia – List of United States cities by population,404431.9068824353,2025-11-30,Zillow ZHVI (City)
Menifee,CA,117041,2024,2025-12-22,Wikipedia – List of United States cities by population,579347.0507287993,2025-11-30,Zillow ZHVI (City)
Las Cruces,NM,116998,2024,2025-12-22,Wikipedia – List of United States cities by population,287975.37594069535,2025-11-30,Zillow ZHVI (City)
Clearwater,FL,116811,2024,2025-12-22,Wikipedia – List of United States cities by population,335264.5480186298,2025-11-30,Zillow ZHVI (City)
West Jordan,UT,116688,2024,2025-12-22,Wikipedia – List of United States cities by population,547937.5762399402,2025-11-30,Zillow ZHVI (City)
New Braunfels,TX,116477,2024,2025-12-22,Wikipedia – List of United States cities by population,347709.97974964976,2025-11-30,Zillow ZHVI (City)
Manchester,NH,116386,2024,2025-12-22,Wikipedia – List of United States cities by population,425113.9551731834,2025-11-30,Zillow ZHVI (City)
Miami Gardens,FL,116173,2024,2025-12-22,Wikipedia – List of United States cities by population,465425.32926746254,2025-11-30,Zillow ZHVI (City)
Waterbury,CT,115908,2024,2025-12-22,Wikipedia – List of United States cities by population,269876.5046678328,2025-11-30,Zillow ZHVI (City)
Provo,UT,115479,2024,2025-12-22,Wikipedia – List of United States cities by population,470692.81835360575,2025-11-30,Zillow ZHVI (City)
Evansville,IN,115395,2024,2025-12-22,Wikipedia – List of United States cities by population,193019.83331089135,2025-11-30,Zillow ZHVI (City)
Richmond,CA,115353,2024,2025-12-22,Wikipedia – List of United States cities by population,590100.5554234736,2025-11-30,Zillow ZHVI (City)
Westminster,CO,115302,2024,2025-12-22,Wikipedia – List of United States cities by population,512323.5631040737,2025-11-30,Zillow ZHVI (City)
Elgin,IL,114701,2024,2025-12-22,Wikipedia – List of United States cities by population,320594.92296129995,2025-11-30,Zillow ZHVI (City)
Conroe,TX,114581,2024,2025-12-22,Wikipedia – List of United States cities by population,312292.7170775966,2025-11-30,Zillow ZHVI (City)
Greeley,CO,114363,2024,2025-12-22,Wikipedia – List of United States cities by population,415055.65360847017,2025-11-30,Zillow ZHVI (City)
Lansing,MI,114336,2024,2025-12-22,Wikipedia – List of United States cities by population,159352.2683099522,2025-11-30,Zillow ZHVI (City)
Buckeye,AZ,114334,2024,2025-12-22,Wikipedia – List of United States cities by population,395546.1792061597,2025-11-30,Zillow ZHVI (City)
Tuscaloosa,AL,114288,2024,2025-12-22,Wikipedia – List of United States cities by population,224104.4932849568,2025-11-30,Zillow ZHVI (City)
Allen,TX,113746,2024,2025-12-22,Wikipedia – List of United States cities by population,494772.2044023767,2025-11-30,Zillow ZHVI (City)
Carlsbad,CA,113575,2024,2025-12-22,Wikipedia – List of United States cities by population,1405512.2159447016,2025-11-30,Zillow ZHVI (City)
Everett,WA,113011,2024,2025-12-22,Wikipedia – List of United States cities by population,640008.4924191808,2025-11-30,Zillow ZHVI (City)
Springfield,IL,112949,2024,2025-12-22,Wikipedia – List of United States cities by population,160106.10409173754,2025-11-30,Zillow ZHVI (City)
Beaumont,TX,112893,2024,2025-12-22,Wikipedia – List of United States cities by population,166524.5154460375,2025-11-30,Zillow ZHVI (City)
Murrieta,CA,112539,2024,2025-12-22,Wikipedia – List of United States cities by population,675082.2955976158,2025-11-30,Zillow ZHVI (City)
Rio Rancho,NM,112524,2024,2025-12-22,Wikipedia – List of United States cities by population,353316.8367412857,2025-11-30,Zillow ZHVI (City)
Temecula,CA,112431,2024,2025-12-22,Wikipedia – List of United States cities by population,748810.5132588763,2025-11-30,Zillow ZHVI (City)
Concord,NC,112395,2024,2025-12-22,Wikipedia – List of United States cities by population,377204.2147482691,2025-11-30,Zillow ZHVI (City)
Tyler,TX,112219,2024,2025-12-22,Wikipedia – List of United States cities by population,247609.99351279243,2025-11-30,Zillow ZHVI (City)
Davie,FL,112052,2024,2025-12-22,Wikipedia – List of United States cities by population,511774.5684568346,2025-11-30,Zillow ZHVI (City)
South Fulton,GA,112003,2024,2025-12-22,Wikipedia – List of United States cities by population,,2025-11-30,Zillow ZHVI (City)
Peoria,IL,111696,2024,2025-12-22,Wikipedia – List of United States cities by population,127324.74862812612,2025-11-30,Zillow ZHVI (City)
Sparks,NV,111520,2024,2025-12-22,Wikipedia – List of United States cities by population,516880.5042557332,2025-11-30,Zillow ZHVI (City)
Gresham,OR,111507,2024,2025-12-22,Wikipedia – List of United States cities by population,459705.8723924152,2025-11-30,Zillow ZHVI (City)
Santa Maria,CA,111346,2024,2025-12-22,Wikipedia – List of United States cities by population,634625.6000961389,2025-11-30,Zillow ZHVI (City)
Pueblo,CO,111166,2024,2025-12-22,Wikipedia – List of United States cities by population,280964.6379151082,2025-11-30,Zillow ZHVI (City)
Hillsboro,OR,110337,2024,2025-12-22,Wikipedia – List of United States cities by population,513969.9676115406,2025-11-30,Zillow ZHVI (City)
Edison,NJ,110002,2024,2025-12-22,Wikipedia – List of United States cities by population,624435.2230277676,2025-11-30,Zillow ZHVI (City)
Sugar Land,TX,109851,2024,2025-12-22,Wikipedia – List of United States cities by population,440065.6682354415,2025-11-30,Zillow ZHVI (City)
Ventura,CA,109831,2024,2025-12-22,Wikipedia – List of United States cities by population,873650.5239666548,2025-11-30,Zillow ZHVI (City)
Downey,CA,109368,2024,2025-12-22,Wikipedia – List of United States cities by population,851556.7132085537,2025-11-30,Zillow ZHVI (City)
Costa Mesa,CA,109131,2024,2025-12-22,Wikipedia – List of United States cities by population,1336022.100989626,2025-11-30,Zillow ZHVI (City)
Centennial,CO,108853,2024,2025-12-22,Wikipedia – List of United States cities by population,634501.9123899442,2025-11-30,Zillow ZHVI (City)
Edinburg,TX,108733,2024,2025-12-22,Wikipedia – List of United States cities by population,212105.30019698304,2025-11-30,Zillow ZHVI (City)
Spokane Valley,WA,108267,2024,2025-12-22,Wikipedia – List of United States cities by population,400946.3799333746,2025-11-30,Zillow ZHVI (City)
Jurupa Valley,CA,108154,2024,2025-12-22,Wikipedia – List of United States cities by population,656315.9529168272,2025-11-30,Zillow ZHVI (City)
Bend,OR,106926,2024,2025-12-22,Wikipedia – List of United States cities by population,720932.5158196948,2025-11-30,Zillow ZHVI (City)
West Covina,CA,106920,2024,2025-12-22,Wikipedia – List of United States cities by population,823640.6535585066,2025-11-30,Zillow ZHVI (City)
Boulder,CO,106803,2024,2025-12-22,Wikipedia – List of United States cities by population,923959.1635650052,2025-11-30,Zillow ZHVI (City)
Palm Coast,FL,106729,2024,2025-12-22,Wikipedia – List of United States cities by population,337035.5002856738,2025-11-30,Zillow ZHVI (City)
Lee's Summit,MO,106419,2024,2025-12-22,Wikipedia – List of United States cities by population,,2025-11-30,Zillow ZHVI (City)
Dearborn,MI,106377,2024,2025-12-22,Wikipedia – List of United States cities by population,239298.89423352556,2025-11-30,Zillow ZHVI (City)
Green Bay,WI,106311,2024,2025-12-22,Wikipedia – List of United States cities by population,270053.8578169009,2025-11-30,Zillow ZHVI (City)
St. George,UT,106288,2024,2025-12-22,Wikipedia – List of United States cities by population,,2025-11-30,Zillow ZHVI (City)
Woodbridge,NJ,106101,2024,2025-12-22,Wikipedia – List of United States cities by population,473136.7249220111,2025-11-30,Zillow ZHVI (City)
Brockton,MA,105788,2024,2025-12-22,Wikipedia – List of United States cities by population,492881.1134510332,2025-11-30,Zillow ZHVI (City)
Renton,WA,105543,2024,2025-12-22,Wikipedia – List of United States cities by population,734563.0483468786,2025-11-30,Zillow ZHVI (City)
Sandy Springs,GA,105505,2024,2025-12-22,Wikipedia – List of United States cities by population,664493.755860222,2025-11-30,Zillow ZHVI (City)
Rialto,CA,104918,2024,2025-12-22,Wikipedia – List of United States cities by population,579179.6016713738,2025-11-30,Zillow ZHVI (City)
El Monte,CA,104639,2024,2025-12-22,Wikipedia – List of United States cities by population,744307.5731017046,2025-11-30,Zillow ZHVI (City)
Vacaville,CA,103994,2024,2025-12-22,Wikipedia – List of United States cities by population,596571.4044075644,2025-11-30,Zillow ZHVI (City)
Fishers,IN,103986,2024,2025-12-22,Wikipedia – List of United States cities by population,434028.2009009767,2025-11-30,Zillow ZHVI (City)
South Bend,IN,103713,2024,2025-12-22,Wikipedia – List of United States cities by population,183750.33739205424,2025-11-30,Zillow ZHVI (City)
Carmel,IN,103606,2024,2025-12-22,Wikipedia – List of United States cities by population,547449.3788820608,2025-11-30,Zillow ZHVI (City)
Yuma,AZ,103559,2024,2025-12-22,Wikipedia – List of United States cities by population,294125.4181142592,2025-11-30,Zillow ZHVI (City)
Burbank,CA,103533,2024,2025-12-22,Wikipedia – List of United States cities by population,1155801.1154960406,2025-11-30,Zillow ZHVI (City)
Lynn,MA,103489,2024,2025-12-22,Wikipedia – List of United States cities by population,569224.8384368792,2025-11-30,Zillow ZHVI (City)
Quincy,MA,103434,2024,2025-12-22,Wikipedia – List of United States cities by population,658450.1717529707,2025-11-30,Zillow ZHVI (City)
El Cajon,CA,103291,2024,2025-12-22,Wikipedia – List of United States cities by population,787817.2587116114,2025-11-30,Zillow ZHVI (City)
Fayetteville,AR,103134,2024,2025-12-22,Wikipedia – List of United States cities by population,369676.6716360138,2025-11-30,Zillow ZHVI (City)
Suffolk,VA,103105,2024,2025-12-22,Wikipedia – List of United States cities by population,372782.4246601352,2025-11-30,Zillow ZHVI (City)
San Mateo,CA,103006,2024,2025-12-22,Wikipedia – List of United States cities by population,1577936.4276076143,2025-11-30,Zillow ZHVI (City)
Chico,CA,102911,2024,2025-12-22,Wikipedia – List of United States cities by population,452706.0646896188,2025-11-30,Zillow ZHVI (City)
Inglewood,CA,102774,2024,2025-12-22,Wikipedia – List of United States cities by population,736411.3993015083,2025-11-30,Zillow ZHVI (City)
Wichita Falls,TX,102372,2024,2025-12-22,Wikipedia – List of United States cities by population,168945.03998989656,2025-11-30,Zillow ZHVI (City)
Boca Raton,FL,102238,2024,2025-12-22,Wikipedia – List of United States cities by population,544013.315439762,2025-11-30,Zillow ZHVI (City)
Hesperia,CA,101836,2024,2025-12-22,Wikipedia – List of United States cities by population,453913.6989110855,2025-11-30,Zillow ZHVI (City)
Daly City,CA,101418,2024,2025-12-22,Wikipedia – List of United States cities by population,1071227.231945154,2025-11-30,Zillow ZHVI (City)
Clinton,MI,101359,2024,2025-12-22,Wikipedia – List of United States cities by population,258694.7757299162,2025-11-30,Zillow ZHVI (City)
Georgetown,TX,101344,2024,2025-12-22,Wikipedia – List of United States cities by population,423103.5444920951,2025-11-30,Zillow ZHVI (City)
New Bedford,MA,101318,2024,2025-12-22,Wikipedia – List of United States cities by population,423102.57567952975,2025-11-30,Zillow ZHVI (City)
Albany,NY,101317,2024,2025-12-22,Wikipedia – List of United States cities by population,313140.4920300045,2025-11-30,Zillow ZHVI (City)
Davenport,IA,100938,2024,2025-12-22,Wikipedia – List of United States cities by population,182858.1570487979,2025-11-30,Zillow ZHVI (City)
Plantation,FL,100694,2024,2025-12-22,Wikipedia – List of United States cities by population,490874.4917615059,2025-11-30,Zillow ZHVI (City)
Deltona,FL,100513,2024,2025-12-22,Wikipedia – List of United States cities by population,293570.5756306311,2025-11-30,Zillow ZHVI (City)
Federal Way,WA,100252,2024,2025-12-22,Wikipedia – List of United States cities by population,580740.3973020556,2025-11-30,Zillow ZHVI (City)
San Angelo,TX,100159,2024,2025-12-22,Wikipedia – List of United States cities by population,226296.8824048828,2025-11-30,Zillow ZHVI (City)
Tracy,CA,100136,2024,2025-12-22,Wikipedia – List of United States cities by population,682477.4483737004,2025-11-30,Zillow ZHVI (City)
Sunrise,FL,100128,2024,2025-12-22,Wikipedia – List of United States cities by population,361314.4679332135,2025-11-30,Zillow ZHVI (City)
